identical_tweet_freq,is_spam_account
0.5,1
0,0
0,0
0,0
0,0
0.001,1
0,0
0,0
0,0
0,0
0,0
0.5,1
0,0
0,0
0,0
0,0
0.002,1
0,0
0.001,1
0,0
0,0
0.5,1
0,0
0,0
0,0
0.001,1
0,0
0,0
0,0
0,0
0.5,1
0,0
0,0
0,0
0,0
0.5,1
0,0
0,0
0,0
0,0
0.5,1
0,0
0,0
0.001,1
0,0
0,0
0,0
0.5,1
0,0
0.001,1
0,0
0,0
0.001,1
0,0
0,0
0.5,1
0,0
0,0
0.004,1
0,0
0,0
0.5,1
0,0
0,0
0,0
0.001,1
0,0
0,0
0.044,1
0,0
0.5,1
0,0
0.001,1
0.002,1
0,0
0,0
0.001,1
0,0
0.001,1
0,0
0.5,1
0,0
0.267,1
0,0
0,0
0.5,1
0,0
0,0
0.003,1
0,0
0,0
0.5,1
0,0
0,0
0.5,1
0,0
0,0
0.5,1
0,0
0.5,1
